Learning Rate,Activation,Units per Layer,Hidden Layers,Epochs,Batch Size,Accuracy
0.001,relu,32,1,10,16,0.815068493150685
0.001,relu,32,1,30,16,0.8515981735159818
0.001,relu,32,1,50,16,0.860730593607306
0.001,relu,32,1,70,16,0.8767123287671232
0.001,relu,32,1,10,32,0.7899543378995434
0.001,relu,32,1,30,32,0.8127853881278538
0.001,relu,32,1,50,32,0.8493150684931506
0.001,relu,32,1,70,32,0.8584474885844748
0.001,relu,32,1,10,64,0.723744292237443
0.001,relu,32,1,30,64,0.8127853881278538
0.001,relu,32,1,50,64,0.8242009132420092
0.001,relu,32,1,70,64,0.8401826484018264
0.01,relu,32,1,10,16,0.867579908675799
0.01,relu,32,1,30,16,0.867579908675799
0.01,relu,32,1,50,16,0.8744292237442922
0.01,relu,32,1,70,16,0.8538812785388128
0.01,relu,32,1,10,32,0.8561643835616438
0.01,relu,32,1,30,32,0.8926940639269406
0.01,relu,32,1,50,32,0.8812785388127854
0.01,relu,32,1,70,32,0.8721461187214612
0.01,relu,32,1,10,64,0.860730593607306
0.01,relu,32,1,30,64,0.8584474885844748
0.01,relu,32,1,50,64,0.8561643835616438
0.01,relu,32,1,70,64,0.8538812785388128
0.1,relu,32,1,10,16,0.815068493150685
0.1,relu,32,1,30,16,0.8356164383561644
0.1,relu,32,1,50,16,0.860730593607306
0.1,relu,32,1,70,16,0.819634703196347
0.1,relu,32,1,10,32,0.8287671232876712
0.1,relu,32,1,30,32,0.8789954337899544
0.1,relu,32,1,50,32,0.8812785388127854
0.1,relu,32,1,70,32,0.8584474885844748
0.1,relu,32,1,10,64,0.8082191780821918
0.1,relu,32,1,30,64,0.8538812785388128
0.1,relu,32,1,50,64,0.8744292237442922
0.1,relu,32,1,70,64,0.8881278538812786
0.001,sigmoid,32,1,10,16,0.6712328767123288
0.001,sigmoid,32,1,30,16,0.7328767123287672
0.001,sigmoid,32,1,50,16,0.7420091324200914
0.001,sigmoid,32,1,70,16,0.7442922374429224
0.001,sigmoid,32,1,10,32,0.6461187214611872
0.001,sigmoid,32,1,30,32,0.7146118721461188
0.001,sigmoid,32,1,50,32,0.7374429223744292
0.001,sigmoid,32,1,70,32,0.7785388127853882
0.001,sigmoid,32,1,10,64,0.6141552511415526
0.001,sigmoid,32,1,30,64,0.678082191780822
0.001,sigmoid,32,1,50,64,0.7031963470319634
0.001,sigmoid,32,1,70,64,0.7420091324200914
0.01,sigmoid,32,1,10,16,0.7671232876712328
0.01,sigmoid,32,1,30,16,0.7831050228310502
0.01,sigmoid,32,1,50,16,0.769406392694064
0.01,sigmoid,32,1,70,16,0.7557077625570776
0.01,sigmoid,32,1,10,32,0.730593607305936
0.01,sigmoid,32,1,30,32,0.7602739726027398
0.01,sigmoid,32,1,50,32,0.7557077625570776
0.01,sigmoid,32,1,70,32,0.7579908675799086
0.01,sigmoid,32,1,10,64,0.7420091324200914
0.01,sigmoid,32,1,30,64,0.771689497716895
0.01,sigmoid,32,1,50,64,0.7671232876712328
0.01,sigmoid,32,1,70,64,0.7602739726027398
0.1,sigmoid,32,1,10,16,0.636986301369863
0.1,sigmoid,32,1,30,16,0.6621004566210046
0.1,sigmoid,32,1,50,16,0.6689497716894978
0.1,sigmoid,32,1,70,16,0.682648401826484
0.1,sigmoid,32,1,10,32,0.6643835616438356
0.1,sigmoid,32,1,30,32,0.7031963470319634
0.1,sigmoid,32,1,50,32,0.678082191780822
0.1,sigmoid,32,1,70,32,0.7214611872146118
0.1,sigmoid,32,1,10,64,0.7009132420091324
0.1,sigmoid,32,1,30,64,0.682648401826484
0.1,sigmoid,32,1,50,64,0.6872146118721462
0.1,sigmoid,32,1,70,64,0.682648401826484
0.001,tanh,32,1,10,16,0.7191780821917808
0.001,tanh,32,1,30,16,0.7374429223744292
0.001,tanh,32,1,50,16,0.7648401826484018
0.001,tanh,32,1,70,16,0.7442922374429224
0.001,tanh,32,1,10,32,0.6940639269406392
0.001,tanh,32,1,30,32,0.7374429223744292
0.001,tanh,32,1,50,32,0.7351598173515982
0.001,tanh,32,1,70,32,0.7557077625570776
0.001,tanh,32,1,10,64,0.6598173515981736
0.001,tanh,32,1,30,64,0.7168949771689498
0.001,tanh,32,1,50,64,0.730593607305936
0.001,tanh,32,1,70,64,0.7511415525114156
0.01,tanh,32,1,10,16,0.7625570776255708
0.01,tanh,32,1,30,16,0.769406392694064
0.01,tanh,32,1,50,16,0.730593607305936
0.01,tanh,32,1,70,16,0.7054794520547946
0.01,tanh,32,1,10,32,0.7534246575342466
0.01,tanh,32,1,30,32,0.728310502283105
0.01,tanh,32,1,50,32,0.769406392694064
0.01,tanh,32,1,70,32,0.773972602739726
0.01,tanh,32,1,10,64,0.7397260273972602
0.01,tanh,32,1,30,64,0.7420091324200914
0.01,tanh,32,1,50,64,0.7488584474885844
0.01,tanh,32,1,70,64,0.728310502283105
0.1,tanh,32,1,10,16,0.589041095890411
0.1,tanh,32,1,30,16,0.6255707762557078
0.1,tanh,32,1,50,16,0.6552511415525114
0.1,tanh,32,1,70,16,0.6621004566210046
0.1,tanh,32,1,10,32,0.639269406392694
0.1,tanh,32,1,30,32,0.6210045662100456
0.1,tanh,32,1,50,32,0.6735159817351598
0.1,tanh,32,1,70,32,0.6712328767123288
0.1,tanh,32,1,10,64,0.6621004566210046
0.1,tanh,32,1,30,64,0.6004566210045662
0.1,tanh,32,1,50,64,0.6415525114155252
0.1,tanh,32,1,70,64,0.6438356164383562
0.001,relu,64,1,10,16,0.8424657534246576
0.001,relu,64,1,30,16,0.8767123287671232
0.001,relu,64,1,50,16,0.860730593607306
0.001,relu,64,1,70,16,0.8858447488584474
0.001,relu,64,1,10,32,0.817351598173516
0.001,relu,64,1,30,32,0.8538812785388128
0.001,relu,64,1,50,32,0.8538812785388128
0.001,relu,64,1,70,32,0.8721461187214612
0.001,relu,64,1,10,64,0.7671232876712328
0.001,relu,64,1,30,64,0.821917808219178
0.001,relu,64,1,50,64,0.860730593607306
0.001,relu,64,1,70,64,0.8515981735159818
0.01,relu,64,1,10,16,0.8789954337899544
0.01,relu,64,1,30,16,0.8835616438356164
0.01,relu,64,1,50,16,0.8881278538812786
0.01,relu,64,1,70,16,0.8904109589041096
0.01,relu,64,1,10,32,0.8812785388127854
0.01,relu,64,1,30,32,0.8858447488584474
0.01,relu,64,1,50,32,0.860730593607306
0.01,relu,64,1,70,32,0.8744292237442922
0.01,relu,64,1,10,64,0.8538812785388128
0.01,relu,64,1,30,64,0.8584474885844748
0.01,relu,64,1,50,64,0.8561643835616438
0.01,relu,64,1,70,64,0.867579908675799
0.1,relu,64,1,10,16,0.8447488584474886
0.1,relu,64,1,30,16,0.863013698630137
0.1,relu,64,1,50,16,0.8767123287671232
0.1,relu,64,1,70,16,0.8904109589041096
0.1,relu,64,1,10,32,0.8310502283105022
0.1,relu,64,1,30,32,0.8493150684931506
0.1,relu,64,1,50,32,0.8812785388127854
0.1,relu,64,1,70,32,0.8744292237442922
0.1,relu,64,1,10,64,0.8515981735159818
0.1,relu,64,1,30,64,0.8835616438356164
0.1,relu,64,1,50,64,0.8721461187214612
0.1,relu,64,1,70,64,0.8698630136986302
0.001,sigmoid,64,1,10,16,0.6643835616438356
0.001,sigmoid,64,1,30,16,0.771689497716895
0.001,sigmoid,64,1,50,16,0.776255707762557
0.001,sigmoid,64,1,70,16,0.7945205479452054
0.001,sigmoid,64,1,10,32,0.632420091324201
0.001,sigmoid,64,1,30,32,0.730593607305936
0.001,sigmoid,64,1,50,32,0.7808219178082192
0.001,sigmoid,64,1,70,32,0.7579908675799086
0.001,sigmoid,64,1,10,64,0.6278538812785388
0.001,sigmoid,64,1,30,64,0.7100456621004566
0.001,sigmoid,64,1,50,64,0.7534246575342466
0.001,sigmoid,64,1,70,64,0.7671232876712328
0.01,sigmoid,64,1,10,16,0.7876712328767124
0.01,sigmoid,64,1,30,16,0.8082191780821918
0.01,sigmoid,64,1,50,16,0.8013698630136986
0.01,sigmoid,64,1,70,16,0.8059360730593608
0.01,sigmoid,64,1,10,32,0.776255707762557
0.01,sigmoid,64,1,30,32,0.8013698630136986
0.01,sigmoid,64,1,50,32,0.7853881278538812
0.01,sigmoid,64,1,70,32,0.7968036529680366
0.01,sigmoid,64,1,10,64,0.7671232876712328
0.01,sigmoid,64,1,30,64,0.7876712328767124
0.01,sigmoid,64,1,50,64,0.771689497716895
0.01,sigmoid,64,1,70,64,0.7876712328767124
0.1,sigmoid,64,1,10,16,0.682648401826484
0.1,sigmoid,64,1,30,16,0.6643835616438356
0.1,sigmoid,64,1,50,16,0.6621004566210046
0.1,sigmoid,64,1,70,16,0.7054794520547946
0.1,sigmoid,64,1,10,32,0.6757990867579908
0.1,sigmoid,64,1,30,32,0.7191780821917808
0.1,sigmoid,64,1,50,32,0.6712328767123288
0.1,sigmoid,64,1,70,32,0.6689497716894978
0.1,sigmoid,64,1,10,64,0.7077625570776256
0.1,sigmoid,64,1,30,64,0.726027397260274
0.1,sigmoid,64,1,50,64,0.7557077625570776
0.1,sigmoid,64,1,70,64,0.6940639269406392
0.001,tanh,64,1,10,16,0.7191780821917808
0.001,tanh,64,1,30,16,0.7831050228310502
0.001,tanh,64,1,50,16,0.771689497716895
0.001,tanh,64,1,70,16,0.7853881278538812
0.001,tanh,64,1,10,32,0.730593607305936
0.001,tanh,64,1,30,32,0.769406392694064
0.001,tanh,64,1,50,32,0.7420091324200914
0.001,tanh,64,1,70,32,0.776255707762557
0.001,tanh,64,1,10,64,0.6872146118721462
0.001,tanh,64,1,30,64,0.7511415525114156
0.001,tanh,64,1,50,64,0.7671232876712328
0.001,tanh,64,1,70,64,0.7808219178082192
0.01,tanh,64,1,10,16,0.7602739726027398
0.01,tanh,64,1,30,16,0.8059360730593608
0.01,tanh,64,1,50,16,0.771689497716895
0.01,tanh,64,1,70,16,0.776255707762557
0.01,tanh,64,1,10,32,0.7831050228310502
0.01,tanh,64,1,30,32,0.773972602739726
