Hidden Layers,Units per Layer,Activation,Learning Rate,Batch Size,Epochs,Accuracy
1,32,relu,0.001,16,10,0.8744292237442922
1,32,relu,0.001,16,30,0.9098173515981736
1,32,relu,0.001,16,50,0.9041095890410958
1,32,relu,0.001,16,70,0.928082191780822
1,32,relu,0.001,32,10,0.8641552511415526
1,32,relu,0.001,32,30,0.9052511415525114
1,32,relu,0.001,32,50,0.8926940639269406
1,32,relu,0.001,32,70,0.9029680365296804
1,32,relu,0.001,64,10,0.728310502283105
1,32,relu,0.001,64,30,0.889269406392694
1,32,relu,0.001,64,50,0.91324200913242
1,32,relu,0.001,64,70,0.9052511415525114
1,32,relu,0.01,16,10,0.8949771689497716
1,32,relu,0.01,16,30,0.9029680365296804
1,32,relu,0.01,16,50,0.9178082191780822
1,32,relu,0.01,16,70,0.9212328767123288
1,32,relu,0.01,32,10,0.8801369863013698
1,32,relu,0.01,32,30,0.9246575342465754
1,32,relu,0.01,32,50,0.9178082191780822
1,32,relu,0.01,32,70,0.9235159817351598
1,32,relu,0.01,64,10,0.9098173515981736
1,32,relu,0.01,64,30,0.9166666666666666
1,32,relu,0.01,64,50,0.9189497716894978
1,32,relu,0.01,64,70,0.9223744292237442
1,32,relu,0.1,16,10,0.860730593607306
1,32,relu,0.1,16,30,0.8995433789954338
1,32,relu,0.1,16,50,0.884703196347032
1,32,relu,0.1,16,70,0.8995433789954338
1,32,relu,0.1,32,10,0.8401826484018264
1,32,relu,0.1,32,30,0.9052511415525114
1,32,relu,0.1,32,50,0.9029680365296804
1,32,relu,0.1,32,70,0.889269406392694
1,32,relu,0.1,64,10,0.8687214611872146
1,32,relu,0.1,64,30,0.889269406392694
1,32,relu,0.1,64,50,0.8778538812785388
1,32,relu,0.1,64,70,0.8949771689497716
1,32,sigmoid,0.001,16,10,0.567351598173516
1,32,sigmoid,0.001,16,30,0.7248858447488584
1,32,sigmoid,0.001,16,50,0.7614155251141552
1,32,sigmoid,0.001,16,70,0.747716894977169
1,32,sigmoid,0.001,32,10,0.5079908675799086
1,32,sigmoid,0.001,32,30,0.6792237442922374
1,32,sigmoid,0.001,32,50,0.7317351598173516
1,32,sigmoid,0.001,32,70,0.7785388127853882
1,32,sigmoid,0.001,64,10,0.4497716894977169
1,32,sigmoid,0.001,64,30,0.5730593607305936
1,32,sigmoid,0.001,64,50,0.7077625570776256
1,32,sigmoid,0.001,64,70,0.7271689497716894
1,32,sigmoid,0.01,16,10,0.7226027397260274
1,32,sigmoid,0.01,16,30,0.7248858447488584
1,32,sigmoid,0.01,16,50,0.7442922374429224
