Num_Conv_Layers,Num_Filters,Kernel_Size,MLP_Num_Hidden_Layers,MLP_Units_Per_Layer,Activation,Dropout_Rate,Batch_Size,Epochs,Learning_Rate,Output_Activation,Accuracy
1,32,"(3, 3)",1,32,relu,0.4,32,50,0.001,sigmoid,0.9292237162590028
1,32,"(3, 3)",1,32,relu,0.4,32,50,0.001,softmax,0.926940619945526
1,32,"(3, 3)",1,32,relu,0.4,32,50,0.01,sigmoid,0.9246575236320496
1,32,"(3, 3)",1,32,relu,0.4,32,50,0.01,softmax,0.3424657583236694
1,32,"(3, 3)",1,32,relu,0.4,32,50,0.1,sigmoid,0.3424657583236694
1,32,"(3, 3)",1,32,relu,0.4,32,50,0.1,softmax,0.3321917951107025
1,32,"(3, 3)",1,64,relu,0.4,32,50,0.001,sigmoid,0.9429223537445068
1,32,"(3, 3)",1,64,relu,0.4,32,50,0.001,softmax,0.9452054500579834
1,32,"(3, 3)",1,64,relu,0.4,32,50,0.01,sigmoid,0.3424657583236694
1,32,"(3, 3)",1,64,relu,0.4,32,50,0.01,softmax,0.9086757898330688
1,32,"(3, 3)",1,64,relu,0.4,32,50,0.1,sigmoid,0.3424657583236694
1,32,"(3, 3)",1,64,relu,0.4,32,50,0.1,softmax,0.3321917951107025
1,32,"(3, 3)",1,128,relu,0.4,32,50,0.001,sigmoid,0.9429223537445068
1,32,"(3, 3)",1,128,relu,0.4,32,50,0.001,softmax,0.9474886059761048
1,32,"(3, 3)",1,128,relu,0.4,32,50,0.01,sigmoid,0.3424657583236694
1,32,"(3, 3)",1,128,relu,0.4,32,50,0.01,softmax,0.3424657583236694
1,32,"(3, 3)",1,128,relu,0.4,32,50,0.1,sigmoid,0.3321917951107025
1,32,"(3, 3)",1,128,relu,0.4,32,50,0.1,softmax,0.3253424763679504
1,32,"(3, 3)",1,256,relu,0.4,32,50,0.001,sigmoid,0.9554794430732728
1,32,"(3, 3)",1,256,relu,0.4,32,50,0.001,softmax,0.9440639019012452
1,32,"(3, 3)",1,256,relu,0.4,32,50,0.01,sigmoid,0.9383561611175536
